hour,US-East,US-West,EU-West,EU-North,Singapore
0,251.91623334203172,57.39539778925222,236.49713938992608,20.738924690215516,268.9513255452516
1,284.092528688003,64.89704558864763,231.75103724405565,18.809342576918333,297.55261396042874
2,279.44577615558677,67.63638575312143,227.0167150425445,22.36863552266974,297.9960102648554
3,282.79291389956836,61.26996447101607,217.90764242794228,22.84908403702692,345.4977046964241
4,270.70092375532323,71.2719632890158,247.98347667580424,24.524099609813657,304.67128987722157
5,285.2078700933514,70.81298273875908,260.32463121836946,24.776081808807113,340.8933769909741
6,294.4522013460657,81.29373008846932,257.96074321903285,25.56707597967895,401.4591298024121
7,364.59916114690685,77.67800515402021,286.44641252670345,25.864150147687955,414.2142719649772
8,362.48523273447245,90.21849788822087,297.4372074726086,29.880006658447076,429.3003990084449
9,384.02150012741754,88.12962056744509,322.3315987588495,30.624699612048044,398.6186572905168
10,342.61079620673223,100.77870807873053,332.55339146709156,26.66236818459823,402.22532420910045
11,421.61934779196247,87.42805486721306,299.37109024578666,27.00396963241507,452.668693626077
12,413.3709535148487,91.78661801591291,322.8943395928574,29.2587802012683,478.21943712235776
13,363.2259755859484,86.97470502049319,337.60872058621817,31.68236726799677,442.8702379637077
14,354.83105818272156,100.55559420931922,324.0077092813411,32.18850117214141,436.73306627892174
15,345.3346701129365,96.97739764741314,337.4934568358702,26.54042577456141,400.4682141385833
16,341.38945378470476,82.69302548968942,313.2358773119024,28.017718934436747,425.45885942591707
17,341.40175987012344,85.74793470092267,270.7176732180484,25.667721793917973,361.8372631744994
18,318.6036482042807,84.01211076317921,252.29539485650372,27.34957198907302,354.0580559520715
19,293.49180980273366,75.73768492319498,269.1677893969809,25.327952497168457,342.813018219949
20,297.2031272991591,71.52163122422242,224.8770819077078,24.02247917120012,330.8027416158951
21,257.3257243919078,64.32579911974021,241.03291421802513,21.330069172048617,298.86510797083605
22,255.95300676057946,60.00135370533763,248.2871007163833,20.31773896764872,280.0594351635507
23,253.6359390449672,68.8019490891724,226.04222587537612,19.25627818948478,302.6519863689926
24,256.1296967843365,68.2612842425445,215.86158394128003,18.22550198660371,281.1883860862679
25,275.4646306939043,65.43510598264396,229.06240411646888,21.641687987179647,300.911988791263
26,251.01404977518314,63.21398687582098,226.29009805958356,21.963397803951764,282.4581328852613
27,278.1104033952302,65.78215892229348,239.12964685942595,23.60970070503853,313.9098176573165
28,296.07298303363916,74.31308975353483,270.33197170001785,24.734865766832577,332.4528579143578
29,278.497629890526,80.86021734806187,255.75150034096964,23.96871652138806,316.8093598424409
30,329.94739743283293,85.11596550338885,301.4577191230801,26.344937075902553,355.00675401943374
31,317.3338204623668,87.74027584119376,313.8204003511876,28.63303771642724,357.77432707672324
32,324.392566197534,89.36851001016153,285.1284377044061,29.42306064872577,368.4468951159713
33,401.778041066416,82.67247704521556,287.8992748397131,27.09362254411169,459.95066649412746
34,414.2350496904934,86.41093457325236,297.9506181911085,29.040017660285073,415.26857635847836
35,409.17000247249456,101.77530139113692,297.58735411527505,27.617221708861504,465.03769489406733
36,372.45365938631966,96.81789497114583,304.3359017204727,32.724306163552335,418.78874887159236
37,354.3874708104159,85.00885106156909,341.37263099960825,30.463059125212652,453.79492615150184
38,392.9080868139491,85.2958227301689,296.03438446044066,27.73833882250583,452.9753321552548
39,364.26619313875045,93.12095283721922,303.62658981816554,29.515448046239772,426.9142827534786
40,328.44203696807,78.29797032724728,324.5408288820653,28.149705322518436,401.4050614635398
41,339.39201057365966,77.45269382250238,262.6092373641514,25.54819862579813,379.1914837728054
42,292.9214984640431,79.76999387199206,293.3586602389093,23.067787960998146,355.9069307642559
43,331.3536439510239,77.78565823435272,250.29489221114304,24.51936434180288,377.8981409362431
44,276.675468130225,73.260889110127,229.4304286362439,22.59138465406707,352.1407180784574
45,286.335067231677,64.08727643648433,246.29177661810962,22.633499871307375,344.40420585256095
46,256.9980682792441,68.0885721146357,234.0802305516864,20.753228382445556,280.6335559894744
47,261.6471416682117,60.3889088666486,239.4920555046358,21.591097163448445,309.7730644532494
48,260.8139872364607,60.993052184733145,231.1807372943796,20.207627355097944,319.3393516245314
49,244.1757307368611,66.88056411674627,236.19677539045475,20.41619916572389,277.2235999478389
50,292.13572082714546,67.27150700701078,218.2476562312269,22.22694940604048,277.1258039849493
51,292.58091848065374,72.56511789925847,221.68042342787655,21.050128344931153,330.29370660062426
52,316.25246846254197,73.3412553285109,260.85054086151786,20.853068528027883,335.21969385666506
53,330.46585673939416,75.93406758681989,277.7737283144892,21.47177817380644,371.7941483149237
